timestamp,open,high,low,close,volume
2023-10-27,1525.0000,1528.9500,1460.5500,1469.5500,2932740
2023-10-20,1536.7000,1558.0000,1502.2500,1523.0500,2823300
2023-10-13,1529.0000,1552.0000,1512.3500,1536.7500,3063389
2023-10-06,1526.5500,1551.9000,1488.6500,1534.1500,3230665
2023-09-29,1528.0000,1540.8000,1515.3500,1526.5500,2076725
2023-09-22,1655.0000,1655.0000,1524.0000,1529.2000,4630732
2023-09-15,1633.9500,1669.2500,1624.0000,1661.9000,2564095
2023-09-08,1583.0000,1632.8000,1571.0500,1624.0500,2309516
2023-09-01,1560.0000,1603.5000,1559.3500,1574.8500,5018517
2023-08-25,1595.0500,1599.8500,1557.7000,1561.9500,2338849
2023-08-18,1610.0000,1614.8000,1581.9500,1591.1500,1737860
2023-08-11,1660.0000,1663.5000,1616.3000,1619.0500,1036680
2023-08-04,1642.5500,1666.4500,1623.0000,1652.8000,1861025
2023-07-28,1676.6000,1702.5500,1640.4500,1644.8000,1519071
2023-07-21,1650.0000,1704.0000,1633.1500,1675.7000,2630923
2023-07-14,1664.3500,1676.8500,1627.2000,1645.2000,1825879
2023-07-07,1714.9000,1757.8000,1654.4000,1660.7500,2614975
2023-06-30,1644.0500,1708.6000,1629.3000,1701.7500,1679760
2023-06-23,1608.0000,1659.9000,1590.9000,1643.4500,3491085
2023-06-16,1612.9500,1616.0000,1580.0000,1602.1000,753785
2023-06-09,1617.0000,1625.8500,1592.4000,1610.5500,871636
2023-06-02,1625.0500,1642.0000,1600.4000,1606.1500,714632
2023-05-26,1644.7000,1652.5000,1597.5500,1615.5000,636015
2023-05-19,1674.0000,1681.0000,1625.4000,1647.4000,672708
2023-05-12,1635.0000,1672.2000,1630.0000,1667.6000,1161927
2023-05-05,1688.2500,1733.9500,1622.0000,1625.3500,1347936
2023-04-28,1675.2000,1691.5000,1654.8500,1688.0500,1133169
2023-04-21,1706.0000,1715.8500,1653.6500,1673.8000,900132
2023-04-13,1665.0000,1697.0000,1651.9000,1693.3000,633368
2023-04-06,1604.3000,1669.0000,1602.5500,1666.3000,538222
2023-03-31,1560.1000,1612.8500,1559.0000,1609.7500,572884
2023-03-24,1568.0000,1590.0000,1545.1500,1561.7500,426271
2023-03-17,1583.1000,1603.7000,1532.3000,1572.5500,1000291
2023-03-10,1618.0000,1644.9500,1585.0000,1588.6500,786640
2023-03-03,1585.0000,1619.4500,1577.1500,1615.5500,460306
2023-02-24,1657.5500,1668.7000,1585.2500,1588.4500,536891
2023-02-17,1656.4500,1681.3500,1640.0000,1656.3000,403306
2023-02-10,1658.7000,1669.2500,1632.2500,1656.4500,320437
2023-02-03,1602.0000,1664.1500,1582.0500,1658.7000,1090118
2023-01-27,1661.2500,1702.0000,1590.3500,1615.8500,503661
2023-01-20,1624.4000,1668.0000,1577.7000,1660.8000,1558110
2023-01-13,1595.8000,1611.0000,1560.0500,1600.8500,727640
2023-01-06,1622.0500,1645.7500,1578.5000,1594.3500,785514
2022-12-30,1591.0000,1644.0000,1591.0000,1627.3000,516900
2022-12-23,1640.6500,1646.5000,1583.0000,1597.6500,405129
2022-12-16,1621.0500,1669.8500,1609.0000,1638.7000,3241800
2022-12-09,1607.0000,1634.0000,1596.4000,1631.3000,7149912
2022-12-02,1606.4000,1636.9500,1592.6500,1607.1000,1194466
2022-11-25,1606.5500,1632.1500,1590.4000,1617.2000,988522
2022-11-18,1610.2500,1642.0000,1598.8000,1613.5500,3415935
2022-11-11,1512.0000,1636.3500,1492.0500,1610.9500,2313836
2022-11-04,1465.0000,1529.0000,1465.0000,1497.1000,2094874
2022-10-28,1453.0000,1467.5000,1445.7000,1458.5000,351523
2022-10-21,1434.6500,1477.0000,1427.0500,1438.4000,1078867
2022-10-14,1410.0000,1447.0000,1384.0000,1441.1000,785292
2022-10-07,1410.0000,1462.1000,1400.5500,1430.7000,383654
2022-09-30,1423.3500,1439.8000,1365.0500,1422.4000,845332
2022-09-23,1486.3500,1524.0000,1437.0000,1446.5000,887072
2022-09-16,1498.0000,1540.5500,1483.0000,1493.2000,1630041
2022-09-09,1485.1000,1509.0000,1470.0000,1498.1500,1939509
2022-09-02,1435.8000,1490.6500,1428.3500,1486.1500,1812217
2022-08-26,1482.6000,1487.9000,1450.2500,1463.4000,1267366
2022-08-19,1490.0000,1513.5000,1486.0500,1493.4500,600040
2022-08-12,1428.4500,1491.0000,1427.1500,1484.7500,1105072
2022-08-05,1435.2500,1448.0000,1413.4000,1426.5500,1568799
2022-07-29,1393.0000,1438.0000,1383.1000,1434.4500,1528635
2022-07-22,1352.0000,1397.0000,1338.3000,1392.8500,2355601
2022-07-15,1395.0000,1409.7500,1346.6500,1363.8500,1125948
2022-07-08,1353.4500,1408.0000,1342.5000,1396.7500,1617821
2022-07-01,1363.2500,1375.9000,1330.2500,1353.6500,1052236
2022-06-24,1295.2500,1361.0000,1294.0500,1353.9000,1335217
2022-06-17,1320.0000,1330.5500,1271.7500,1290.1000,1832290
2022-06-10,1374.0500,1387.4000,1343.3000,1350.6500,897919
2022-06-03,1408.2000,1420.5500,1376.0000,1380.2500,666536
2022-05-27,1313.0000,1394.5000,1296.2000,1391.6000,2551583
2022-05-20,1297.0000,1333.0000,1278.3000,1320.7000,1695150
2022-05-13,1305.0000,1355.4500,1287.0500,1290.9500,1845725
2022-05-06,1363.0000,1405.9500,1313.1000,1317.6000,1212171
2022-04-29,1352.6000,1404.7000,1323.9000,1384.7500,1309871
2022-04-22,1440.0000,1440.0000,1328.0000,1355.4500,5195539
2022-04-13,1510.0000,1510.0000,1462.3500,1464.8500,1164171
2022-04-08,1562.3000,1721.8500,1496.9500,1515.1000,5163644
2022-04-01,1432.1500,1509.9000,1401.6000,1506.3000,1212256
2022-03-25,1487.0000,1517.8000,1418.8000,1431.7500,1513557
2022-03-17,1411.0000,1489.9000,1411.0000,1480.2500,1211294
2022-03-11,1320.0000,1426.3000,1292.0000,1397.0000,2160577
2022-03-04,1435.1500,1438.2000,1336.6500,1366.6000,2639015
2022-02-25,1502.0000,1529.9000,1408.1000,1455.6500,1693295
2022-02-18,1462.0500,1533.7500,1462.0500,1512.6500,1057544
2022-02-11,1514.0000,1535.0000,1445.0000,1518.8500,1110188
2022-02-04,1473.7000,1539.4000,1466.7500,1524.2500,2404582
2022-01-28,1518.9500,1520.1500,1435.2500,1463.3000,1037892
2022-01-21,1545.0000,1556.4500,1486.3000,1520.7000,1447113
2022-01-14,1558.6500,1576.0000,1519.6500,1545.2500,1141245
2022-01-07,1479.8000,1572.0000,1479.8000,1550.4000,1361058
2021-12-31,1433.0000,1484.8500,1421.3000,1479.8000,1084256
2021-12-24,1457.0000,1457.5000,1414.0000,1439.3000,2048751
2021-12-17,1527.0500,1537.4500,1468.0000,1472.9000,1486042
2021-12-10,1515.7000,1555.6000,1497.1000,1522.3500,1711278
2021-12-03,1485.1500,1536.0000,1461.5000,1513.1000,820783
2021-11-26,1539.6000,1553.4000,1485.5500,1490.1000,1490347
2021-11-18,1568.0000,1571.8000,1526.6500,1538.7500,429719
2021-11-12,1590.0000,1604.7500,1536.4000,1553.3000,2982623
2021-11-03,1583.0000,1622.2000,1576.0000,1581.8500,741549
2021-10-29,1689.0000,1689.3000,1560.0500,1582.3500,1129919
2021-10-22,1709.9500,1724.3000,1654.2500,1681.9500,2131748
2021-10-14,1603.0000,1690.0000,1600.0000,1685.9000,675799
2021-10-08,1590.0000,1628.0500,1577.0000,1602.2000,945973
2021-10-01,1614.0500,1635.6000,1565.7000,1582.5500,1761156
2021-09-24,1569.0000,1607.8000,1528.7000,1601.3500,1757313
2021-09-17,1562.0000,1589.8500,1536.3500,1583.3000,1290511
2021-09-09,1580.0000,1581.9500,1555.2500,1567.6500,1521845
2021-09-03,1555.0000,1597.8500,1548.0000,1575.6500,837962
2021-08-27,1528.0000,1571.0000,1509.0000,1548.7000,845318
2021-08-20,1525.1000,1564.7500,1487.0000,1514.3500,975520
2021-08-13,1485.0000,1531.0000,1480.0000,1525.1000,1480951
2021-08-06,1437.8000,1506.9500,1413.4000,1493.7000,1407255
2021-07-30,1434.7500,1450.0000,1404.1500,1425.8000,2220867
2021-07-23,1491.0000,1491.0000,1435.5000,1442.8500,994024
2021-07-16,1505.0000,1530.0000,1483.9500,1521.7000,662923
2021-07-09,1484.1500,1545.1000,1484.1500,1501.8000,716281
2021-07-02,1517.0000,1523.3500,1477.0500,1480.6500,409973
2021-06-25,1468.6500,1522.0000,1451.0000,1514.1500,1199197
2021-06-18,1482.0000,1496.2500,1455.1500,1479.8500,957961
2021-06-11,1505.1000,1512.1500,1472.0000,1486.2000,1345661
2021-06-04,1503.8000,1526.3500,1487.6000,1501.1500,912455
2021-05-28,1508.0000,1520.6500,1462.3500,1501.1500,1825092
2021-05-21,1394.0000,1501.0000,1381.4500,1497.0000,2007445
2021-05-14,1426.0000,1429.1500,1382.8000,1387.1500,720211
2021-05-07,1399.0000,1424.5000,1377.5500,1414.6000,1850316
2021-04-30,1414.0000,1503.4500,1402.9500,1412.2000,2059667
2021-04-23,1395.0000,1434.6500,1371.0000,1414.3000,1289372
2021-04-16,1399.6500,1444.9500,1353.1000,1428.4500,1098847
2021-04-09,1484.6500,1484.6500,1415.0000,1421.6500,1910609
2021-04-01,1504.2500,1561.4500,1469.8500,1486.5000,1376146
2021-03-26,1497.1000,1507.0000,1450.1000,1492.2000,1693713
2021-03-19,1548.0500,1548.0500,1474.3500,1497.1000,1340001
2021-03-12,1541.0000,1591.7500,1512.6500,1551.6500,1037783
2021-03-05,1568.3000,1595.7000,1520.6500,1529.6500,2150089
2021-02-26,1541.0000,1650.0000,1517.0000,1534.3500,3158278
2021-02-19,1598.0000,1641.3000,1533.0000,1538.8000,1505552
2021-02-12,1616.0000,1631.6000,1565.0000,1582.3000,1290870
2021-02-05,1400.0000,1618.4000,1400.0000,1596.8500,2647504
2021-01-29,1466.0000,1480.7000,1342.0000,1390.8000,1372647
2021-01-22,1472.8000,1511.0000,1440.7000,1443.6500,3180915
2021-01-15,1450.6000,1494.0000,1436.0000,1466.3500,1605060
2021-01-08,1437.3500,1448.8000,1399.0000,1431.8500,1357856
2021-01-01,1404.4500,1443.6500,1404.0000,1424.8500,1333900
2020-12-24,1414.5000,1423.8000,1345.4500,1396.9000,2344558
2020-12-18,1382.0000,1444.0000,1365.0500,1411.2500,1804309
2020-12-11,1377.0000,1409.9000,1358.1500,1382.2000,1985497
2020-12-04,1440.0000,1448.8500,1373.4000,1385.1500,1561087
2020-11-27,1412.0000,1464.0000,1375.2500,1440.7000,2388092
2020-11-20,1386.5500,1418.8500,1365.6500,1403.8500,1567152
2020-11-13,1311.7000,1415.0000,1311.7000,1359.0000,3116517
2020-11-06,1195.0000,1309.9500,1177.2500,1307.7500,2712583
2020-10-30,1232.0000,1242.1000,1176.5500,1183.4500,1705694
2020-10-23,1220.0000,1250.5000,1193.0000,1235.7000,2393572
2020-10-16,1235.0000,1242.5000,1164.4000,1199.0000,3255302
2020-10-09,1111.0000,1236.9500,1110.6500,1233.7000,2847989
2020-10-01,1050.0000,1109.7500,1042.9000,1106.6000,2094187
2020-09-25,1052.0000,1071.2000,1025.1500,1044.0500,1690032
2020-09-18,1090.0000,1095.5000,1047.3000,1057.4000,1902148
2020-09-11,1088.1000,1119.9500,1071.1000,1078.5000,1537259
