price,date,volume
MYR RM4.37,"Feb 5, 2021",1.1M
MYR RM4.32,"Feb 11, 2021",317K
MYR RM4.32,"Feb 11, 2021",317K
MYR RM4.45,"Feb 19, 2021",1M
MYR RM4.45,"Feb 19, 2021",1M
MYR RM4.30,"Feb 26, 2021",2.7M
MYR RM4.30,"Feb 26, 2021",2.7M
MYR RM4.30,"Feb 26, 2021",2.7M
MYR RM3.96,"Mar 5, 2021",931K
MYR RM3.96,"Mar 5, 2021",931K
MYR RM3.68,"Mar 12, 2021",1.8M
MYR RM3.68,"Mar 12, 2021",1.8M
MYR RM3.63,"Mar 26, 2021",1.1M
MYR RM3.63,"Mar 26, 2021",1.1M
MYR RM3.63,"Mar 26, 2021",1.1M
MYR RM4.08,"Apr 2, 2021",1.7M
MYR RM4.08,"Apr 2, 2021",1.7M
MYR RM4.00,"Apr 9, 2021",562K
MYR RM4.00,"Apr 9, 2021",562K
MYR RM3.96,"Apr 16, 2021",581K
MYR RM3.96,"Apr 16, 2021",581K
MYR RM3.96,"Apr 16, 2021",581K
MYR RM4.02,"Apr 23, 2021",563K
MYR RM4.02,"Apr 23, 2021",563K
MYR RM4.01,"Apr 30, 2021",756K
MYR RM4.01,"Apr 30, 2021",756K
MYR RM3.84,"May 7, 2021",308K
MYR RM3.84,"May 7, 2021",308K
MYR RM3.84,"May 7, 2021",308K
MYR RM3.65,"May 12, 2021",422K
MYR RM3.65,"May 12, 2021",422K
MYR RM3.70,"May 21, 2021",561K
MYR RM3.70,"May 21, 2021",561K
MYR RM3.83,"May 28, 2021",590K
MYR RM3.83,"May 28, 2021",590K
MYR RM3.83,"May 28, 2021",590K
MYR RM3.84,"Jun 4, 2021",253K
MYR RM3.84,"Jun 4, 2021",253K
MYR RM3.80,"Jun 11, 2021",80K
MYR RM3.80,"Jun 11, 2021",80K
MYR RM3.80,"Jun 11, 2021",80K
MYR RM3.63,"Jun 18, 2021",883K
MYR RM3.63,"Jun 18, 2021",883K
MYR RM3.74,"Jun 25, 2021",277K
MYR RM3.74,"Jun 25, 2021",277K
MYR RM3.74,"Jul 2, 2021",116K
MYR RM3.74,"Jul 2, 2021",116K
MYR RM3.74,"Jul 2, 2021",116K
MYR RM3.87,"Jul 9, 2021",273K
MYR RM3.87,"Jul 9, 2021",273K
MYR RM3.99,"Jul 16, 2021",888K
MYR RM3.99,"Jul 16, 2021",888K
MYR RM4.86,"Jul 23, 2021",3M
MYR RM4.86,"Jul 23, 2021",3M
MYR RM4.86,"Jul 23, 2021",3M
MYR RM4.72,"Jul 30, 2021",2M
MYR RM4.72,"Jul 30, 2021",2M
MYR RM4.92,"Aug 6, 2021",2.5M
MYR RM4.92,"Aug 6, 2021",2.5M
MYR RM4.80,"Aug 13, 2021",1.2M
MYR RM4.80,"Aug 13, 2021",1.2M
MYR RM4.80,"Aug 13, 2021",1.2M
MYR RM4.75,"Aug 20, 2021",922K
MYR RM4.75,"Aug 20, 2021",922K
MYR RM4.65,"Aug 27, 2021",1.6M
MYR RM4.65,"Aug 27, 2021",1.6M
MYR RM4.64,"Sep 3, 2021",1.4M
MYR RM4.64,"Sep 3, 2021",1.4M
MYR RM4.64,"Sep 3, 2021",1.4M
MYR RM4.81,"Sep 10, 2021",961K
MYR RM4.81,"Sep 10, 2021",961K
MYR RM4.78,"Sep 17, 2021",562K
MYR RM4.78,"Sep 17, 2021",562K
MYR RM5.13,"Sep 24, 2021",2.3M
MYR RM5.13,"Sep 24, 2021",2.3M
MYR RM5.13,"Sep 24, 2021",2.3M
MYR RM4.99,"Oct 1, 2021",1.6M
MYR RM4.99,"Oct 1, 2021",1.6M
MYR RM4.88,"Oct 8, 2021",1.4M
MYR RM4.88,"Oct 8, 2021",1.4M
